//联锁表-呼和浩特南站(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
814    |DCJL|D1A,SIDA    |D1     |1-3,5-7,9,19                     |3-5DG,9DG,19DG,19DG                     |D5;
815    |DCJL|D1A,SIIDA    |D1     |1-3,(5-7),1-3,13,49-51                     |3-5DG,1-7DG,13DG,49DG                     |D7;
816    |DCJL|D1A,SIVDA    |D1     |1-3,(5-7),1-3,13,(49-51)                     |3-5DG,1-7DG,13DG,49DG,51DG,71DG                     |D7;
817    |DCJL|D1A,S6DA    |D1     |1-3,(5-7),1-3,(13),15-17,71-73,57-59                     |3-5DG,1-7DG,13DG,15DG,73DG,59DG                     |D7;
818    |DCJL|D1A,S8DA    |D1     |1-3,(5-7),1-3,(13),(15-17),53-55,57-59                     |3-5DG,1-7DG,13DG,15DG,17-123DG,73DG,53-57DG                     |D7;
819    |DCJL|D1A,SXDA    |D1     |1-3,(5-7),1-3,(13),(15-17),(53-55),81-85<83>                     |3-5DG,1-7DG,13DG,15DG,17-123DG,73DG,53-57DG,55-81DG                     |D7;
820    |DCJL|D1A,S12DA    |D1     |1-3,(5-7),1-3,(13),(15-17),(53-55),(81-85<83>),87<89>,69                     |3-5DG,1-7DG,13DG,15DG,17-123DG,73DG,53-57DG,55-81DG,69-89DG,91DG                     |D7;
821    |DCJL|D1A,S14DA    |D1     |1-3,(5-7),1-3,(13),(15-17),(53-55),(81-85<83>),87<89>,(69)                     |3-5DG,1-7DG,13DG,15DG,17-123DG,73DG,53-57DG,55-81DG,69-89DG,91DG                     |D7;
822    |DCJL|D1A,S16DA    |D1     |1-3,(5-7),1-3,(13),(15-17),(53-55),(81-85<83>),(87<89>),91,93                     |3-5DG,1-7DG,13DG,15DG,17-123DG,73DG,53-57DG,55-81DG,69-89DG,91DG,93DG                     |D7;
823    |DCJL|D1A,S18DA    |D1     |1-3,(5-7),1-3,(13),(15-17),(53-55),(81-85<83>),(87<89>),91,(93)                     |3-5DG,1-7DG,13DG,15DG,17-123DG,73DG,53-57DG,55-81DG,69-89DG,91DG,93DG                     |D7;
824    |DCJL|D1A,S20DA    |D1     |1-3,(5-7),1-3,(13),(15-17),(53-55),(81-85<83>),(87<89>),(91)                     |3-5DG,1-7DG,13DG,15DG,17-123DG,73DG,53-57DG,55-81DG,69-89DG,91DG,93DG                     |D7;
825    |DCJL|D3A,D5A    |D3     |5-7,(1-3),5-7                     |1-7DG,3-5DG                     |D5;
826    |DCJL|D3A,D7A    |D3     |5-7,1-3                     |1-7DG                     |D7;
827    |DCJL|D3A,D11A    |D3     |5-7,1-3,13                     |1-7DG,13DG                     |D7;
828    |DCJL|D3A,D9A    |D3     |5-7,1-3,(13)                     |1-7DG,13DG                     |D7;
829    |DCJL|D3A,D15A    |D3     |5-7,(1-3),5-7,9,(19)                     |1-7DG,3-5DG,9DG,19DG                     |D5;
830    |DCJL|D3A,D85A    |D3     |5-7,(1-3),5-7,(9),99-101,(95-97),99-101,113-115,(103-107<105>),113-115,(109<111>)                     |1-7DG,3-5DG,9DG,19DG,95-101DG,97-99DG,103-115DG                     |D5;
831    |DCJL|D3A,D83A    |D3     |5-7,(1-3),5-7,(9),99-101,(95-97),99-101,113-115,103-107<105>                     |1-7DG,3-5DG,9DG,19DG,95-101DG,97-99DG,103-115DG                     |D5;
832    |DCJL|D3A,D61A    |D3     |5-7,(1-3),5-7,(9)                     |1-7DG,3-5DG,9DG,19DG                     |D5;
833    |DCJL|D3A,D81A    |D3     |5-7,(1-3),5-7,(9),99-101,95-97                     |1-7DG,3-5DG,9DG,19DG,95-101DG                     |D5;
834    |DCJL|D3A,D77A    |D3     |5-7,(1-3),5-7,(9),99-101,(95-97),99-101                     |1-7DG,3-5DG,9DG,19DG,95-101DG,97-99DG                     |D5;
835    |DCJL|D3A,D33A    |D3     |5-7,1-3,(13),15-17,71-73                     |1-7DG,13DG,15DG,73DG                     |D7;
836    |DCJL|D3A,D91A    |D3     |5-7,(1-3),5-7,9,(19),(21),(23-25)                     |1-7DG,3-5DG,9DG,19DG,21-23DG,25DG,31DG                     |D5;
837    |DCJL|D3A,D31A    |D3     |5-7,1-3,(13),(15-17)                     |1-7DG,13DG,15DG,17-123DG,73DG                     |D7;
838    |DCJL|D3A,S21DA    |D3     |5-7,(1-3),5-7,(9),99-101,(95-97),99-101,113-115,(103-107<105>),113-115,(109<111>),117                     |1-7DG,3-5DG,9DG,19DG,95-101DG,97-99DG,103-115DG,117DG                     |D5;
839    |DCJL|D3A,S19DA    |D3     |5-7,(1-3),5-7,(9),99-101,(95-97),99-101,113-115,(103-107<105>),113-115,(109<111>),(117)                     |1-7DG,3-5DG,9DG,19DG,95-101DG,97-99DG,103-115DG,117DG                     |D5;
840    |DCJL|D3A,S17DA    |D3     |5-7,(1-3),5-7,(9),99-101,(95-97),99-101,113-115,(103-107<105>),113-115,109<111>                     |1-7DG,3-5DG,9DG,19DG,95-101DG,97-99DG,103-115DG,117DG                     |D5;
841    |DCJL|D3A,S15DA    |D3     |5-7,(1-3),5-7,(9),99-101,(95-97),99-101,113-115,103-107<105>,33                     |1-7DG,3-5DG,9DG,19DG,95-101DG,97-99DG,103-115DG,33DG                     |D5;
842    |DCJL|D3A,S13DA    |D3     |5-7,(1-3),5-7,(9),99-101,(95-97),99-101,113-115,103-107<105>,(33)                     |1-7DG,3-5DG,9DG,19DG,95-101DG,97-99DG,103-115DG,33DG                     |D5;
843    |DCJL|D3A,S11DA    |D3     |5-7,(1-3),5-7,(9),99-101,95-97,(31)                     |1-7DG,3-5DG,9DG,19DG,95-101DG,31DG,25DG                     |D5;
844    |DCJL|D3A,SIXDA    |D3     |5-7,(1-3),5-7,9,(19),(21),(23-25),(61)                     |1-7DG,3-5DG,9DG,19DG,21-23DG,25DG,31DG,61DG                     |D5;
845    |DCJL|D3A,SVIIDA    |D3     |5-7,(1-3),5-7,9,(19),(21),(23-25),61                     |1-7DG,3-5DG,9DG,19DG,21-23DG,25DG,31DG,61DG                     |D5;
846    |DCJL|D3A,S5DA    |D3     |5-7,(1-3),5-7,9,(19),(21),23-25                     |1-7DG,3-5DG,9DG,19DG,21-23DG                     |D5;
847    |DCJL|D3A,S3DA    |D3     |5-7,(1-3),5-7,9,(19),21                     |1-7DG,3-5DG,9DG,19DG,21-23DG                     |D5;
848    |DCJL|D3A,SIDA    |D3     |5-7,(1-3),5-7,9,19                     |1-7DG,3-5DG,9DG,19DG,19DG                     |D5;
849    |DCJL|D3A,SIIDA    |D3     |5-7,1-3,13,49-51                     |1-7DG,13DG,49DG                     |D7;
850    |DCJL|D3A,SIVDA    |D3     |5-7,1-3,13,(49-51)                     |1-7DG,13DG,49DG,51DG,71DG                     |D7;
851    |DCJL|D3A,S6DA    |D3     |5-7,1-3,(13),15-17,71-73,57-59                     |1-7DG,13DG,15DG,73DG,59DG                     |D7;
852    |DCJL|D3A,S8DA    |D3     |5-7,1-3,(13),(15-17),53-55,57-59                     |1-7DG,13DG,15DG,17-123DG,73DG,53-57DG                     |D7;
853    |DCJL|D3A,SXDA    |D3     |5-7,1-3,(13),(15-17),(53-55),81-85<83>                     |1-7DG,13DG,15DG,17-123DG,73DG,53-57DG,55-81DG                     |D7;
854    |DCJL|D3A,S12DA    |D3     |5-7,1-3,(13),(15-17),(53-55),(81-85<83>),87<89>,69                     |1-7DG,13DG,15DG,17-123DG,73DG,53-57DG,55-81DG,69-89DG,91DG                     |D7;
855    |DCJL|D3A,S14DA    |D3     |5-7,1-3,(13),(15-17),(53-55),(81-85<83>),87<89>,(69)                     |1-7DG,13DG,15DG,17-123DG,73DG,53-57DG,55-81DG,69-89DG,91DG                     |D7;
856    |DCJL|D3A,S16DA    |D3     |5-7,1-3,(13),(15-17),(53-55),(81-85<83>),(87<89>),91,93                     |1-7DG,13DG,15DG,17-123DG,73DG,53-57DG,55-81DG,69-89DG,91DG,93DG                     |D7;
857    |DCJL|D3A,S18DA    |D3     |5-7,1-3,(13),(15-17),(53-55),(81-85<83>),(87<89>),91,(93)                     |1-7DG,13DG,15DG,17-123DG,73DG,53-57DG,55-81DG,69-89DG,91DG,93DG                     |D7;
858    |DCJL|D3A,S20DA    |D3     |5-7,1-3,(13),(15-17),(53-55),(81-85<83>),(87<89>),(91)                     |1-7DG,13DG,15DG,17-123DG,73DG,53-57DG,55-81DG,69-89DG,91DG,93DG                     |D7;
859    |DCJL|D5A,D15A    |D5     |9,(19)                     |9DG,19DG                     |D15;
860    |DCJL|D5A,D85A    |D5     |(9),99-101,(95-97),99-101,113-115,(103-107<105>),113-115,(109<111>)                     |9DG,19DG,95-101DG,97-99DG,103-115DG                     |D61;
861    |DCJL|D5A,D83A    |D5     |(9),99-101,(95-97),99-101,113-115,103-107<105>                     |9DG,19DG,95-101DG,97-99DG,103-115DG                     |D61;
862    |DCJL|D5A,D61A    |D5     |(9)                     |9DG,19DG                     |D61;
863    |DCJL|D5A,D81A    |D5     |(9),99-101,95-97                     |9DG,19DG,95-101DG                     |D61;
864    |DCJL|D5A,D77A    |D5     |(9),99-101,(95-97),99-101                     |9DG,19DG,95-101DG,97-99DG                     |D61;
865    |DCJL|D5A,D91A    |D5     |9,(19),(21),(23-25)                     |9DG,19DG,21-23DG,25DG,31DG                     |D15;
866    |DCJL|D5A,S21DA    |D5     |(9),99-101,(95-97),99-101,113-115,(103-107<105>),113-115,(109<111>),117                     |9DG,19DG,95-101DG,97-99DG,103-115DG,117DG                     |D61;
867    |DCJL|D5A,S19DA    |D5     |(9),99-101,(95-97),99-101,113-115,(103-107<105>),113-115,(109<111>),(117)                     |9DG,19DG,95-101DG,97-99DG,103-115DG,117DG                     |D61;
868    |DCJL|D5A,S17DA    |D5     |(9),99-101,(95-97),99-101,113-115,(103-107<105>),113-115,109<111>                     |9DG,19DG,95-101DG,97-99DG,103-115DG,117DG                     |D61;
869    |DCJL|D5A,S15DA    |D5     |(9),99-101,(95-97),99-101,113-115,103-107<105>,33                     |9DG,19DG,95-101DG,97-99DG,103-115DG,33DG                     |D61;
870    |DCJL|D5A,S13DA    |D5     |(9),99-101,(95-97),99-101,113-115,103-107<105>,(33)                     |9DG,19DG,95-101DG,97-99DG,103-115DG,33DG                     |D61;
871    |DCJL|D5A,S11DA    |D5     |(9),99-101,95-97,(31)                     |9DG,19DG,95-101DG,31DG,25DG                     |D61;
872    |DCJL|D5A,SIXDA    |D5     |9,(19),(21),(23-25),(61)                     |9DG,19DG,21-23DG,25DG,31DG,61DG                     |D15;
873    |DCJL|D5A,SVIIDA    |D5     |9,(19),(21),(23-25),61                     |9DG,19DG,21-23DG,25DG,31DG,61DG                     |D15;
874    |DCJL|D5A,S5DA    |D5     |9,(19),(21),23-25                     |9DG,19DG,21-23DG                     |D15;
875    |DCJL|D5A,S3DA    |D5     |9,(19),21                     |9DG,19DG,21-23DG                     |D15;
876    |DCJL|D5A,SIDA    |D5     |9,19                     |9DG,19DG,19DG                     |SI;
877    |DCJL|D7A,D11A    |D7     |13                     |13DG                     |D11;
878    |DCJL|D7A,D9A    |D7     |(13)                     |13DG                     |D9;
879    |DCJL|D7A,D33A    |D7     |(13),15-17,71-73                     |13DG,15DG,73DG                     |D9;
880    |DCJL|D7A,D31A    |D7     |(13),(15-17)                     |13DG,15DG,17-123DG,73DG                     |D9;
881    |DCJL|D7A,SIIDA    |D7     |13,49-51                     |13DG,49DG                     |D11;
882    |DCJL|D7A,SIVDA    |D7     |13,(49-51)                     |13DG,49DG,51DG,71DG                     |D11;
883    |DCJL|D7A,S6DA    |D7     |(13),15-17,71-73,57-59                     |13DG,15DG,73DG,59DG                     |D9;
884    |DCJL|D7A,S8DA    |D7     |(13),(15-17),53-55,57-59                     |13DG,15DG,17-123DG,73DG,53-57DG                     |D9;
885    |DCJL|D7A,SXDA    |D7     |(13),(15-17),(53-55),81-85<83>                     |13DG,15DG,17-123DG,73DG,53-57DG,55-81DG                     |D9;
886    |DCJL|D7A,S12DA    |D7     |(13),(15-17),(53-55),(81-85<83>),87<89>,69                     |13DG,15DG,17-123DG,73DG,53-57DG,55-81DG,69-89DG,91DG                     |D9;
887    |DCJL|D7A,S14DA    |D7     |(13),(15-17),(53-55),(81-85<83>),87<89>,(69)                     |13DG,15DG,17-123DG,73DG,53-57DG,55-81DG,69-89DG,91DG                     |D9;
888    |DCJL|D7A,S16DA    |D7     |(13),(15-17),(53-55),(81-85<83>),(87<89>),91,93                     |13DG,15DG,17-123DG,73DG,53-57DG,55-81DG,69-89DG,91DG,93DG                     |D9;
889    |DCJL|D7A,S18DA    |D7     |(13),(15-17),(53-55),(81-85<83>),(87<89>),91,(93)                     |13DG,15DG,17-123DG,73DG,53-57DG,55-81DG,69-89DG,91DG,93DG                     |D9;
890    |DCJL|D7A,S20DA    |D7     |(13),(15-17),(53-55),(81-85<83>),(87<89>),(91)                     |13DG,15DG,17-123DG,73DG,53-57DG,55-81DG,69-89DG,91DG,93DG                     |D9;
891    |DCJL|D11A,D1A    |D11     |13,1-3,(5-7),1-3                     |13DG,1-7DG,3-5DG                     |D7,D1;
892    |DCJL|D11A,D3A    |D11     |13,1-3,5-7                     |13DG,1-7DG                     |D7,D3;
893    |DCJL|D9A,D1A    |D9     |(13),1-3,(5-7),1-3                     |13DG,1-7DG,3-5DG                     |D7,D1;
894    |DCJL|D9A,D3A    |D9     |(13),1-3,5-7                     |13DG,1-7DG                     |D7,D3;
895    |DCJL|D99A,SIXDA    |D99     |(61)                     |61DG                     |SIX;
896    |DCJL|D99A,SVIIDA    |D99     |61                     |61DG                     |SVII;
897    |DCJL|D15A,D91A    |D15     |(21),(23-25)                     |21-23DG,25DG,31DG                     |D91;
898    |DCJL|D15A,SIXDA    |D15     |(21),(23-25),(61)                     |21-23DG,25DG,31DG,61DG                     |D91;
899    |DCJL|D15A,SVIIDA    |D15     |(21),(23-25),61                     |21-23DG,25DG,31DG,61DG                     |D91;
900    |DCJL|D15A,S5DA    |D15     |(21),23-25                     |21-23DG                     |S5;
901    |DCJL|D15A,S3DA    |D15     |21                     |21-23DG                     |S3;
902    |DCJL|D85A,S21DA    |D85     |117                     |117DG                     |S21;
903    |DCJL|D85A,S19DA    |D85     |(117)                     |117DG                     |S19;
904    |DCJL|D83A,S15DA    |D83     |33                     |33DG                     |S15;
905    |DCJL|D83A,S13DA    |D83     |(33)                     |33DG                     |S13;
906    |DCJL|D63A,D85A    |D63     |99-101,(95-97),99-101,113-115,(103-107<105>),113-115,(109<111>)                     |95-101DG,97-99DG,103-115DG                     |D77;
907    |DCJL|D63A,D83A    |D63     |99-101,(95-97),99-101,113-115,103-107<105>                     |95-101DG,97-99DG,103-115DG                     |D77;
908    |DCJL|D63A,D81A    |D63     |99-101,95-97                     |95-101DG                     |D81;
909    |DCJL|D63A,D77A    |D63     |99-101,(95-97),99-101                     |95-101DG,97-99DG                     |D77;
910    |DCJL|D63A,D91A    |D63     |99-101,95-97,31,23-25                     |95-101DG,31DG,25DG                     |D81;
911    |DCJL|D63A,S21DA    |D63     |99-101,(95-97),99-101,113-115,(103-107<105>),113-115,(109<111>),117                     |95-101DG,97-99DG,103-115DG,117DG                     |D77;
912    |DCJL|D63A,S19DA    |D63     |99-101,(95-97),99-101,113-115,(103-107<105>),113-115,(109<111>),(117)                     |95-101DG,97-99DG,103-115DG,117DG                     |D77;
913    |DCJL|D63A,S17DA    |D63     |99-101,(95-97),99-101,113-115,(103-107<105>),113-115,109<111>                     |95-101DG,97-99DG,103-115DG,117DG                     |D77;
914    |DCJL|D63A,S15DA    |D63     |99-101,(95-97),99-101,113-115,103-107<105>,33                     |95-101DG,97-99DG,103-115DG,33DG                     |D77;
915    |DCJL|D63A,S13DA    |D63     |99-101,(95-97),99-101,113-115,103-107<105>,(33)                     |95-101DG,97-99DG,103-115DG,33DG                     |D77;
916    |DCJL|D63A,S11DA    |D63     |99-101,95-97,(31)                     |95-101DG,31DG,25DG                     |D81;
917    |DCJL|D63A,SIXDA    |D63     |99-101,95-97,31,23-25,(61)                     |95-101DG,31DG,25DG,61DG                     |D81;
918    |DCJL|D63A,SVIIDA    |D63     |99-101,95-97,31,23-25,61                     |95-101DG,31DG,25DG,61DG                     |D81;
919    |DCJL|D61A,D1A    |D61     |(9),5-7,1-3                     |9DG,3-5DG,19DG                     |D5,D1;
920    |DCJL|D61A,D3A    |D61     |(9),5-7,(1-3),5-7                     |9DG,3-5DG,1-7DG,19DG                     |D5,D3;
921    |DCJL|D81A,D91A    |D81     |31,23-25                     |31DG,25DG                     |D91;
922    |DCJL|D81A,S11DA    |D81     |(31)                     |31DG,25DG                     |S11;
923    |DCJL|D81A,SIXDA    |D81     |31,23-25,(61)                     |31DG,25DG,61DG                     |D91;
924    |DCJL|D81A,SVIIDA    |D81     |31,23-25,61                     |31DG,25DG,61DG                     |D91;
925    |DCJL|D73A,D67A    |D73     |119                     |119DG                     |D67;
926    |DCJL|D73A,D51A    |D73     |119,27-29                     |119DG,27DG                     |D67;
927    |DCJL|D73A,D27A    |D73     |119,27-29,129-131,125-127                     |119DG,27DG,125-131DG                     |D67;
928    |DCJL|D73A,D105A    |D73     |119,27-29,129-131,(125-127),129-131                     |119DG,27DG,125-131DG,127-129DG                     |D67;
929    |DCJL|D75A,D85A    |D75     |103-107<105>,113-115,(109<111>)                     |                     |D85;
930    |DCJL|D75A,D83A    |D75     |103-107<105>,(113-115),103-107<105>                     |,103-115DG                     |D83;
931    |DCJL|D75A,S21DA    |D75     |103-107<105>,113-115,(109<111>),117                     |,117DG                     |D85;
932    |DCJL|D75A,S19DA    |D75     |103-107<105>,113-115,(109<111>),(117)                     |,117DG                     |D85;
933    |DCJL|D75A,S17DA    |D75     |103-107<105>,113-115,109<111>                     |,117DG                     |S17;
934    |DCJL|D75A,S15DA    |D75     |103-107<105>,(113-115),103-107<105>,33                     |,103-115DG,33DG                     |D83;
935    |DCJL|D75A,S13DA    |D75     |103-107<105>,(113-115),103-107<105>,(33)                     |,103-115DG,33DG                     |D83;
936    |DCJL|D67A,D85A    |D67     |119,103-107<105>,113-115,(109<111>)                     |119DG,                     |D73;
937    |DCJL|D67A,D83A    |D67     |119,103-107<105>,(113-115),103-107<105>                     |119DG,,103-115DG                     |D73;
938    |DCJL|D67A,D73A    |D67     |119                     |119DG                     |D73;
939    |DCJL|D67A,D69A    |D67     |(119)                     |119DG                     |D69;
940    |DCJL|D67A,S21DA    |D67     |119,103-107<105>,113-115,(109<111>),117                     |119DG,,117DG                     |D73;
941    |DCJL|D67A,S19DA    |D67     |119,103-107<105>,113-115,(109<111>),(117)                     |119DG,,117DG                     |D73;
942    |DCJL|D67A,S17DA    |D67     |119,103-107<105>,113-115,109<111>                     |119DG,,117DG                     |D73;
943    |DCJL|D67A,S15DA    |D67     |119,103-107<105>,(113-115),103-107<105>,33                     |119DG,,103-115DG,33DG                     |D73;
944    |DCJL|D67A,S13DA    |D67     |119,103-107<105>,(113-115),103-107<105>,(33)                     |119DG,,103-115DG,33DG                     |D73;
945    |DCJL|D57A,D51A    |D57     |27-29                     |27DG                     |D51;
946    |DCJL|D57A,D27A    |D57     |27-29,129-131,125-127                     |27DG,125-131DG                     |D51;
947    |DCJL|D57A,D105A    |D57     |27-29,129-131,(125-127),129-131                     |27DG,125-131DG,127-129DG                     |D51;
948    |DCJL|D69A,D67A    |D69     |(119)                     |119DG                     |D67;
949    |DCJL|D69A,D51A    |D69     |(119),27-29                     |119DG,27DG                     |D67;
950    |DCJL|D69A,D27A    |D69     |(119),27-29,129-131,125-127                     |119DG,27DG,125-131DG                     |D67;
951    |DCJL|D69A,D105A    |D69     |(119),27-29,129-131,(125-127),129-131                     |119DG,27DG,125-131DG,127-129DG                     |D67;
952    |DCJL|D77A,D1A    |D77     |99-101,(95-97),99-101,(9),5-7,1-3                     |97-99DG,95-101DG,9DG,3-5DG,19DG                     |D63;
953    |DCJL|D77A,D3A    |D77     |99-101,(95-97),99-101,(9),5-7,(1-3),5-7                     |97-99DG,95-101DG,9DG,3-5DG,1-7DG,19DG                     |D63;
954    |DCJL|D77A,D63A    |D77     |99-101,(95-97),99-101                     |97-99DG,95-101DG                     |D63;
955    |DCJL|D77A,D51A    |D77     |99-101,95-97,(27-29)                     |97-99DG,29DG,27DG                     |D65,D51;
956    |DCJL|D77A,D27A    |D77     |99-101,95-97,(27-29),129-131,125-127                     |97-99DG,29DG,27DG,125-131DG                     |D65,D51;
957    |DCJL|D79A,D85A    |D79     |113-115,(103-107<105>),113-115,(109<111>)                     |103-115DG                     |D85;
958    |DCJL|D79A,D83A    |D79     |113-115,103-107<105>                     |103-115DG                     |D83;
959    |DCJL|D79A,S21DA    |D79     |113-115,(103-107<105>),113-115,(109<111>),117                     |103-115DG,117DG                     |D85;
960    |DCJL|D79A,S19DA    |D79     |113-115,(103-107<105>),113-115,(109<111>),(117)                     |103-115DG,117DG                     |D85;
961    |DCJL|D79A,S17DA    |D79     |113-115,(103-107<105>),113-115,109<111>                     |103-115DG,117DG                     |S17;
962    |DCJL|D79A,S15DA    |D79     |113-115,103-107<105>,33                     |103-115DG,33DG                     |D83;
963    |DCJL|D79A,S13DA    |D79     |113-115,103-107<105>,(33)                     |103-115DG,33DG                     |D83;
964    |DCJL|D65A,D85A    |D65     |95-97,99-101,113-115,(103-107<105>),113-115,(109<111>)                     |97-99DG,103-115DG                     |D77;
965    |DCJL|D65A,D83A    |D65     |95-97,99-101,113-115,103-107<105>                     |97-99DG,103-115DG                     |D77;
966    |DCJL|D65A,D81A    |D65     |95-97,(99-101),95-97                     |97-99DG,95-101DG                     |D81;
967    |DCJL|D65A,D77A    |D65     |95-97,99-101                     |97-99DG                     |D77;
968    |DCJL|D65A,D91A    |D65     |95-97,(99-101),95-97,31,23-25                     |97-99DG,95-101DG,31DG,25DG                     |D81;
969    |DCJL|D65A,S21DA    |D65     |95-97,99-101,113-115,(103-107<105>),113-115,(109<111>),117                     |97-99DG,103-115DG,117DG                     |D77;
970    |DCJL|D65A,S19DA    |D65     |95-97,99-101,113-115,(103-107<105>),113-115,(109<111>),(117)                     |97-99DG,103-115DG,117DG                     |D77;
971    |DCJL|D65A,S17DA    |D65     |95-97,99-101,113-115,(103-107<105>),113-115,109<111>                     |97-99DG,103-115DG,117DG                     |D77;
972    |DCJL|D65A,S15DA    |D65     |95-97,99-101,113-115,103-107<105>,33                     |97-99DG,103-115DG,33DG                     |D77;
973    |DCJL|D65A,S13DA    |D65     |95-97,99-101,113-115,103-107<105>,(33)                     |97-99DG,103-115DG,33DG                     |D77;
974    |DCJL|D65A,SVIIDA    |D65     |95-97,(99-101),95-97,31,23-25,61                     |97-99DG,95-101DG,31DG,25DG,61DG                     |D81;
975    |DCJL|D51A,D85A    |D51     |27-29,119,103-107<105>,113-115,(109<111>)                     |27DG,119DG,                     |D57;
976    |DCJL|D51A,D83A    |D51     |27-29,119,103-107<105>,(113-115),103-107<105>                     |27DG,119DG,,103-115DG                     |D57;
977    |DCJL|D51A,D81A    |D51     |(27-29),95-97,(99-101),95-97                     |27DG,29DG,97-99DG,95-101DG                     |D65;
978    |DCJL|D51A,D73A    |D51     |27-29,119                     |27DG,119DG                     |D57;
979    |DCJL|D51A,D57A    |D51     |27-29                     |27DG                     |D57;
980    |DCJL|D51A,D69A    |D51     |27-29,(119)                     |27DG,119DG                     |D57;
981    |DCJL|D51A,D77A    |D51     |(27-29),95-97,99-101                     |27DG,29DG,97-99DG                     |D65;
982    |DCJL|D51A,D65A    |D51     |(27-29)                     |27DG,29DG                     |D65;
983    |DCJL|D51A,D91A    |D51     |(27-29),95-97,(99-101),95-97,31,23-25                     |27DG,29DG,97-99DG,95-101DG,31DG,25DG                     |D65;
984    |DCJL|D51A,S21DA    |D51     |27-29,119,103-107<105>,113-115,(109<111>),117                     |27DG,119DG,,117DG                     |D57;
985    |DCJL|D51A,S19DA    |D51     |27-29,119,103-107<105>,113-115,(109<111>),(117)                     |27DG,119DG,,117DG                     |D57;
986    |DCJL|D51A,S17DA    |D51     |27-29,119,103-107<105>,113-115,109<111>                     |27DG,119DG,,117DG                     |D57;
987    |DCJL|D51A,S15DA    |D51     |27-29,119,103-107<105>,(113-115),103-107<105>,33                     |27DG,119DG,,103-115DG,33DG                     |D57;
988    |DCJL|D51A,S13DA    |D51     |27-29,119,103-107<105>,(113-115),103-107<105>,(33)                     |27DG,119DG,,103-115DG,33DG                     |D57;
989    |DCJL|D51A,SVIIDA    |D51     |(27-29),95-97,(99-101),95-97,31,23-25,61                     |27DG,29DG,97-99DG,95-101DG,31DG,25DG,61DG                     |D65;
990    |DCJL|D23A,SIIDA    |D23     |49-51                     |49DG                     |SII;
991    |DCJL|D23A,SIVDA    |D23     |(49-51)                     |49DG,51DG,71DG                     |SIV;
992    |DCJL|D25A,D33A    |D25     |(71-73)                     |71DG,73DG,51DG,15DG                     |D33;
993    |DCJL|D25A,SIVDA    |D25     |71-73,49-51                     |71DG,51DG                     |SIV;
994    |DCJL|D25A,S6DA    |D25     |(71-73),57-59                     |71DG,73DG,51DG,15DG,59DG                     |D33;
995    |DCJL|D39A,S6DA    |D39     |57-59                     |59DG                     |S6;
996    |DCJL|D33A,D1A    |D33     |71-73,15-17,(13),1-3,(5-7),1-3                     |73DG,15DG,13DG,1-7DG,3-5DG                     |D21;
997    |DCJL|D33A,D3A    |D33     |71-73,15-17,(13),1-3,5-7                     |73DG,15DG,13DG,1-7DG                     |D21;
998    |DCJL|D33A,D25A    |D33     |(71-73)                     |73DG,71DG,15DG,51DG                     |D25;
999    |DCJL|D33A,D21A    |D33     |71-73,15-17                     |73DG,15DG                     |D21;
1000    |DCJL|D35A,S6DA    |D35     |53-55,(57-59)                     |53-57DG,59DG                     |S6;
1001    |DCJL|D35A,S8DA    |D35     |53-55,57-59                     |53-57DG                     |S8;
1002    |DCJL|D35A,SXDA    |D35     |(53-55),81-85<83>                     |53-57DG,55-81DG                     |SX;
1003    |DCJL|D35A,S12DA    |D35     |(53-55),(81-85<83>),87<89>,69                     |53-57DG,55-81DG,69-89DG,91DG                     |S12;
1004    |DCJL|D35A,S14DA    |D35     |(53-55),(81-85<83>),87<89>,(69)                     |53-57DG,55-81DG,69-89DG,91DG                     |S14;
1005    |DCJL|D35A,S16DA    |D35     |(53-55),(81-85<83>),(87<89>),91,93                     |53-57DG,55-81DG,69-89DG,91DG,93DG                     |S16;
1006    |DCJL|D35A,S18DA    |D35     |(53-55),(81-85<83>),(87<89>),91,(93)                     |53-57DG,55-81DG,69-89DG,91DG,93DG                     |S18;
1007    |DCJL|D35A,S20DA    |D35     |(53-55),(81-85<83>),(87<89>),(91)                     |53-57DG,55-81DG,69-89DG,91DG,93DG                     |S20;
1008    |DCJL|D37A,SXDA    |D37     |53-55,81-85<83>                     |55-81DG                     |SX;
1009    |DCJL|D37A,S12DA    |D37     |53-55,(81-85<83>),87<89>,69                     |55-81DG,69-89DG,91DG                     |S12;
1010    |DCJL|D37A,S14DA    |D37     |53-55,(81-85<83>),87<89>,(69)                     |55-81DG,69-89DG,91DG                     |S14;
1011    |DCJL|D37A,S16DA    |D37     |53-55,(81-85<83>),(87<89>),91,93                     |55-81DG,69-89DG,91DG,93DG                     |S16;
1012    |DCJL|D37A,S18DA    |D37     |53-55,(81-85<83>),(87<89>),91,(93)                     |55-81DG,69-89DG,91DG,93DG                     |S18;
1013    |DCJL|D37A,S20DA    |D37     |53-55,(81-85<83>),(87<89>),(91)                     |55-81DG,69-89DG,91DG,93DG                     |S20;
1014    |DCJL|D91A,D1A    |D91     |23-25,31,95-97,99-101,(9),5-7,1-3                     |25DG,31DG,95-101DG,9DG,3-5DG,19DG                     |D81,D63;
